Low 30 A,30,1,1,5,0,Warm up slowly for five minutes. Nice and easy. Not even your Easy Run pace.
Low 30 A,30,1,2,1,2,Speed up to Level 2 for 1 minute.
Low 30 A,30,1,3,1,1,Slow down to Level 1 for 1 minute.
Low 30 A,30,1,4,1,3,Speed up to Level 3 for 1 minute.
Low 30 A,30,1,5,3,1,Slow down to Level 1 for 3 minute.
Low 30 A,30,1,6,1,2,Speed up to Level 2 for 1 minute.
Low 30 A,30,1,7,2,1,Slow down to Level 1 for 2 minute.
Low 30 A,30,1,8,1,4,Speed up to Level 4 for 1 minute.
Low 30 A,30,1,9,4,1,Slow down to Level 1 for 4 minute.
Low 30 A,30,1,10,1,2,Speed up to Level 2 for 1 minute.
Low 30 A,30,1,11,3,1,Slow down to Level 1 for 3 minute.
Low 30 A,30,1,12,1,2,Speed up to Level 2 for 1 minute.
Low 30 A,30,1,13,4,1,Slow down to Level 1 for 4 minute.
Low 30 A,30,1,14,1,2,Speed up to Level 2 for 1 minute.
Low 30 A,30,1,15,2,1,Slow down to Level 1 for 2 minute.
Low 30 A,30,1,16,1,3,Speed up to Level 3 for 1 minute.
Low 30 A,30,1,17,3,1,Slow down to Level 1 for 3 minute.
Low 30 A,30,1,18,5,0,Good Job. Cool down now for 5 minutes
Low 30 B,30,1,1,5,0,Warm up slowly for five minutes. Nice and easy. Not even your Easy Run pace.
Low 30 B,30,1,2,1,2,Speed up to Level 2 for 1 minute.
Low 30 B,30,1,3,1,1,Slow down to Level 1 for 1 minute.
Low 30 B,30,1,4,1,3,Speed up to Level 3 for 1 minute.
Low 30 B,30,1,5,6,1,Slow down to Level 1 for 6 minute.
Low 30 B,30,1,6,2,2,Speed up to Level 2 for 2 minute.
Low 30 B,30,1,7,3,1,Slow down to Level 1 for 3 minute.
Low 30 B,30,1,8,1,4,Speed up to Level 4 for 1 minute.
Low 30 B,30,1,9,3,1,Slow down to Level 1 for 3 minute.
Low 30 B,30,1,10,1,2,Speed up to Level 2 for 1 minute.
Low 30 B,30,1,11,2,1,Slow down to Level 1 for 2 minute.
Low 30 B,30,1,12,1,2,Speed up to Level 2 for 1 minute.
Low 30 B,30,1,13,5,1,Slow down to Level 1 for 5 minute.
Low 30 B,30,1,14,1,3,Speed up to Level 3 for 1 minute.
Low 30 B,30,1,15,1,2,Slow down to Level 2 for 1 minute.
Low 30 B,30,1,16,1,1,Slow down to Level 1 for 1 minute.
Low 30 B,30,1,17,5,0,Good Job. Cool down now for 5 minutes
Low 30 C,30,1,1,5,0,Warm up slowly for five minutes. Nice and easy. Not even your Easy Run pace.
Low 30 C,30,1,2,1,2,Speed up to Level 2 for 1 minute.
